feature,importance
noevidence_fake_score,0.19667866586516333
fake_prob,0.09144146922053982
noevidence_fake_score_masked,0.09039807826625806
num_rejected_objects,0.07044262814224009
proposal_patch_sum,0.05875052735459146
num_raw_clusters,0.054747084676998646
num_singletons,0.04964731825842559
is_noevidence_status,0.03099696501450546
best_score_max,0.030995763015049527
proposal_score_top3_mean,0.028736923880387944
proposal_score_top5_mean,0.027819581658786677
proposal_token_top5_mean,0.021836447426104917
proposal_score_top1,0.020803943085772054
is_none_status,0.020141558334274546
proposal_token_top3_mean,0.017956251717524904
status_none,0.017133672126043643
proposal_ratio_top1,0.013399389092339273
best_token_contrast,0.01333629776685855
proposal_patch_top1,0.012342923886416588
has_any_passed,0.011568387611289107
validated_ratio_top3_mean,0.011426343854545424
validated_ratio_top1,0.011409754973131412
evidence_coverage,0.010411300114790422
validated_score_top3_mean,0.010257887845920534
proposal_ratio_top3_mean,0.00972741428427663
proposal_token_top1,0.009014585839465478
validated_token_top1,0.008615348927413412
validated_patch_sum,0.007687115819123374
best_contrast_ratio,0.007577978618063133
num_proposal_objects,0.005471871629403981
num_validated_objects,0.005420843065190796
validated_token_top3_mean,0.005403811802600224
validated_patch_top1,0.004200590717435698
num_valid_clusters,0.004144849217788174
sys1_global_anomaly_prefix,0.0038058019935793426
token_any_passed,0.002793159592466633
sys1_global_anomaly_gap,0.002526715218524112
validated_score_top1,0.0005996821234085861
pixel_any_passed,0.000331067963302388
num_high_objects,5.156608947693668e-17
is_weak_status,4.243165520559766e-17
num_weak_objects,3.8360024665457905e-17
rescued_by_token,3.5258170945232533e-17
status_weak,3.2779606417142033e-17
has_high_conf,2.959492900276677e-17
status_high,2.947067952875496e-17
is_high_status,1.3020774467157701e-17
